❯ python3 profiling.py
14:22:25 ::    Helper     ::   INFO   :: Running VidGear Version: 0.2.5
         1973540 function calls in 688.775 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /home/spoerk/dev/foosball-ai/foosball-ai/venv/lib/python3.10/site-packages/vidgear/gears/camgear.py:521(stop)
        1    0.000    0.000    0.000    0.000 {rectangle}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/queue.py:122(put)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:827(__init__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:236(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:545(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1064(join)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:568(set)
        4    0.000    0.000    0.000    0.000 /home/spoerk/dev/foosball-ai/foosball-ai/foosball/tracker.py:70(hsv2rgb)
        3    0.000    0.000    0.000    0.000 {method 'get' of 'cv2.VideoCapture' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/queue.py:34(__init__)
        1    0.000    0.000    0.000    0.000 /home/spoerk/dev/foosball-ai/foosball-ai/foosball/tracker.py:60(get_goal_bounds_hsv)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1102(_wait_for_tstate_lock)
        1    0.000    0.000    0.000    0.000 /home/spoerk/dev/foosball-ai/foosball-ai/venv/lib/python3.10/site-packages/imutils/video/fps.py:12(start)
        1    0.000    0.000    0.000    0.000 /home/spoerk/dev/foosball-ai/foosball-ai/foosball/capture.py:35(dim)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_weakrefset.py:39(_remove)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1028(_stop)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:389(notify_all)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1430(current_thread)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_weakrefset.py:86(add)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/queue.py:213(_put)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/queue.py:97(empty)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1301(_make_invoke_excepthook)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:276(_acquire_restore)
        3    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /home/spoerk/dev/foosball-ai/foosball-ai/venv/lib/python3.10/site-packages/vidgear/gears/camgear.py:369(<dictcomp>)
        1    0.000    0.000    0.000    0.000 /home/spoerk/dev/foosball-ai/foosball-ai/venv/lib/python3.10/site-packages/imutils/video/fps.py:5(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:273(_release_save)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1183(daemon)
        1    0.000    0.000    0.000    0.000 {method 'clear' of 'list' objects}
